登錄號,ISBN,書名,並列題名,分類號,作者,版本,出版地,出版社,書目出處,出版西元年,語言別,叢書名,價格,標題項,出版民國年,裝訂別(請填入平裝;精裝;套裝;其他),集叢項,附註項,主題項,追尋項,排架號,館藏狀態,流通別,資料別,特藏號,冊次號,複本號,館藏地(請填入館藏地名稱),來源別(請填入購買;贈送;交換),捐贈者,附件,新增日期
,9789864798087,大野狼咕嚕咕嚕,,863.596,賴曉珍文 ; 蔡豫寧(yunintsai)圖,第一版,臺北市,遠見天下文化,NLPI,2019,chi,文學館358；好品格童話8；故事奇想樹BKL358,NT$260,,108,平裝,文學館358；好品格童話8；故事奇想樹BKL358,國語注音,臺灣兒童文學,蔡豫寧,863.596 5761,,,,,,,,,,,
,9789864798070,小鱷魚別開門,,863.596,賴曉珍文 ; Momo Jeff(摸摸傑夫)圖,第一版,臺北市,遠見天下文化,NLPI,2019,chi,文學館357；好品格童話7；故事奇想樹BKL357,NT$260,,108,平裝,文學館357；好品格童話7；故事奇想樹BKL357,繪者本名蔡庭翔,兒童文學；兒童故事,Momo Jeff,863.596 5761,,,,,,,,,,,
,9789864795277,好品格童話 6 蝴蝶女王與糞金龜,,859.6,賴曉珍文 蔡元婷圖,第一版,臺北市,遠見天下文化,CIP,2018,chi,故事奇想樹,NT$260,,107,平裝,故事奇想樹,,,,,,,,,,,,,,,
,9786267255384,儀式: 看似無意義的行為如何創造有意義的人生= Ritual: how seemingly senseless acts make life worth living,,530,迪米特里斯.西加拉塔斯(Dimitris Xygalatas)作; 謝雯伃譯,初版,新北市,鷹出版,CIP,2024,chi,,NT$460,,113,平裝,,,"禮俗；文化人類學；民俗心理學；Ritual；Rites and ceremonies；Evolutionary psychology；Psychology, Religious；Spirituality",,530,,,,,,,,,,,
